class	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+vehicle	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana	RF+Cana
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|Other	0	0	0	0.000125	0.000125	0	0	0	0	0	0	0.000125	0	0.000125	0.000125	0.000125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	0.005	0.003375	0.0005	0.007125	0.00975	0.0125	0.0115	0.015375	0.01225	0.005875	0.0135	0.01225	0.00725	0.0065	0.01175	0.012375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__02d06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Candidatus Arthromitus	0.00025	0.000125	0	0.000125	0.000125	0	0	0	0	0.000125	0	0	0.000625	0.00025	0.000625	0.001
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium	0.000625	0.00075	0.000875	0.00025	0.001625	0.0025	0.000875	0.0015	0.00025	0.000125	0	0.000625	0.001375	0.0015	0.001	0.00075
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Dehalobacteriaceae|g__Dehalobacterium	0.001625	0.001125	0.000375	0.000875	0.001	0.00125	0.00125	0.0005	0.0005	0.0005	0.001	0.0005	0.001	0.001625	0.001125	0.001125
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Anaerofustis	0	0.00025	0	0	0	0	0	0	0	0	0	0	0	0.000125	0.000125	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|Other	0.006	0.0065	0.008375	0.0115	0.0095	0.007625	0.007375	0.01175	0.00575	0.01275	0.01225	0.005625	0.007125	0.001875	0.005125	0.008625
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	0.053125	0.09675	0.0805	0.08525	0.160875	0.202	0.102625	0.18775	0.041	0.1075	0.08925	0.0475	0.118375	0.19525	0.211375	0.0515
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes	0	0	0	0	0	0	0	0	0	0	0	0	0.00025	0.000125	0	0.000375
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia	0	0	0	0	0	0	0	0	0	0	0.000125	0	0	0	0	0
